epoch,ADM,DALLE2,Glide,Midjourney,VQDM,biggan,cyclegan,gaugan,progan,stable_diffusion_v_1_4,stable_diffusion_v_1_5,stargan,stylegan,stylegan2,whichfaceisreal,wukong,MEAN
epoch15,63.17,54.00,58.92,59.42,71.33,62.00,74.03,77.00,79.12,56.92,56.75,55.28,55.36,60.74,56.50,60.33,62.55
epoch16,63.33,54.50,59.42,59.67,72.00,63.00,75.19,77.80,79.50,56.83,56.88,55.78,56.11,60.87,56.50,60.67,63.00
epoch17,63.17,54.50,59.17,60.00,72.58,63.75,75.19,78.20,79.88,57.42,57.06,55.78,56.28,60.87,56.50,60.92,63.20
epoch18,63.67,55.50,59.83,60.33,72.83,64.25,76.36,78.70,80.62,57.33,57.44,56.03,56.95,61.75,55.50,60.92,63.63
epoch19,63.75,55.50,60.50,60.75,73.42,64.00,75.19,79.30,80.62,57.58,57.63,56.53,57.37,61.56,56.00,61.00,63.79
epoch20,63.92,55.00,60.83,60.67,73.92,64.50,75.97,79.70,81.12,57.42,57.81,56.78,57.62,61.62,55.50,61.33,63.98
epoch21,64.17,55.00,60.92,60.67,74.50,65.25,77.13,80.20,81.75,58.00,58.19,56.78,57.45,62.00,56.00,62.17,64.39
epoch22,64.17,54.50,61.08,61.00,74.67,65.75,77.52,80.40,82.00,58.67,58.63,57.29,57.87,61.87,55.50,62.17,64.57
epoch23,64.33,55.00,61.42,61.00,74.92,65.25,78.68,80.30,81.88,58.25,58.56,57.54,57.96,62.44,55.00,62.17,64.67
epoch24,64.83,55.00,62.00,61.25,75.00,65.75,79.07,80.50,82.12,58.83,58.56,58.04,58.21,62.37,54.50,62.50,64.91
epoch25,64.67,55.00,61.83,61.50,75.25,66.00,78.29,80.70,82.38,58.83,59.00,58.04,58.54,62.37,54.50,62.33,64.95
epoch26,64.75,55.50,61.67,62.17,75.75,66.00,77.91,80.70,82.75,58.83,58.81,58.79,58.79,62.69,54.00,63.00,65.13
epoch27,65.00,55.00,61.83,61.92,76.08,66.50,78.29,80.80,83.38,59.33,58.69,59.80,58.88,62.50,54.00,62.83,65.30
epoch28,65.00,56.00,61.92,62.00,76.42,65.75,79.07,81.40,83.88,59.42,58.81,59.80,58.79,62.63,54.00,63.25,65.51
epoch29,65.42,55.00,62.17,62.25,76.50,66.50,79.46,81.00,83.88,59.33,58.94,59.80,58.88,63.00,53.00,63.08,65.51
epoch30,65.33,55.00,62.50,61.75,76.75,67.00,79.07,81.40,84.00,59.42,58.88,60.30,58.88,63.19,54.00,63.83,65.71
epoch31,65.33,55.50,62.33,62.08,76.83,67.00,79.07,81.10,84.38,59.42,58.88,60.05,58.96,62.81,53.50,63.92,65.70
epoch32,65.33,55.00,62.58,62.25,77.42,66.75,79.84,81.40,84.50,59.67,59.13,60.55,59.38,62.88,53.50,63.25,65.84
epoch33,65.75,55.50,62.67,62.67,77.33,67.00,79.84,81.50,84.75,59.83,59.38,61.06,59.30,63.19,53.50,64.00,66.08
epoch34,65.75,55.00,63.08,62.42,77.83,67.00,80.62,81.70,85.00,59.83,59.44,60.55,59.55,63.44,53.00,63.75,66.12
epoch35,66.00,55.00,63.08,62.58,77.75,67.75,80.62,82.20,85.50,59.83,59.94,60.30,59.38,63.32,53.00,63.92,66.26
epoch36,65.67,55.00,63.00,62.50,77.92,66.50,81.40,81.80,85.25,60.33,59.50,60.80,59.05,63.25,53.00,64.08,66.19
epoch37,66.17,55.00,63.33,62.75,78.33,66.75,81.01,82.60,85.50,60.00,59.56,61.31,59.46,63.69,53.00,64.08,66.41
epoch38,66.17,55.00,63.25,62.83,78.25,67.00,80.62,82.60,85.50,60.42,59.88,61.81,59.38,63.38,52.50,64.08,66.42
epoch39,66.17,54.50,63.25,63.08,78.50,67.00,81.01,82.50,85.50,60.75,59.75,61.06,59.30,63.82,53.50,64.25,66.50
epoch40,66.75,55.50,63.58,62.92,78.50,67.75,81.78,82.70,85.88,60.42,60.06,61.31,59.46,64.57,53.50,64.83,66.84
epoch41,66.75,55.50,63.83,62.83,78.83,67.00,81.40,82.60,86.25,60.17,60.00,62.06,59.63,64.32,53.00,64.50,66.79
epoch42,66.67,55.00,63.67,62.58,78.67,67.75,81.78,82.40,86.25,60.42,59.94,61.56,59.72,64.20,53.50,64.75,66.80
epoch43,66.67,55.50,63.83,62.75,78.83,67.25,82.17,82.90,86.38,60.58,60.31,61.06,59.46,64.70,53.00,64.83,66.89
epoch44,66.83,55.50,64.00,63.08,78.83,67.75,81.40,82.80,86.50,60.67,60.12,61.31,59.72,64.51,52.00,64.67,66.86
epoch45,67.00,56.00,64.17,63.50,78.92,67.50,81.40,82.90,86.62,60.50,60.19,60.80,59.97,64.01,52.50,64.83,66.93
epoch46,67.25,55.50,64.33,63.58,79.17,67.25,81.40,83.10,86.88,60.25,60.75,61.56,60.13,64.26,51.50,64.50,66.96
epoch47,67.08,56.00,64.25,63.50,79.33,67.50,81.01,82.80,87.00,60.67,61.00,62.31,60.30,64.13,51.50,64.58,67.06
epoch48,67.08,56.50,64.67,63.25,79.33,67.50,81.40,83.30,87.00,61.00,60.81,62.06,60.30,64.51,52.00,64.67,67.21
epoch49,67.25,56.50,64.67,63.67,79.50,67.50,81.01,83.40,86.88,60.67,60.94,62.31,60.05,64.32,52.00,64.92,67.22
