dataset,AP,Acc(0.5),Acc(best),best_thres,r_acc0,f_acc0,r_acc1,f_acc1
ADM,68.41,60.67,63.17,0.4283,91.83,29.5,78.33,48.0
biggan,68.31,60.0,62.0,0.478,93.0,27.0,89.5,34.5
cyclegan,80.82,72.87,74.03,0.4766,90.7,55.04,85.27,62.79
DALLE2,49.82,48.0,54.0,0.2402,84.0,12.0,11.0,97.0
gaugan,85.13,75.1,77.0,0.4513,87.6,62.6,75.2,78.8
Glide,62.68,56.42,58.92,0.4207,90.17,22.67,73.67,44.17
Midjourney,62.64,56.17,59.42,0.4278,92.33,20.0,76.33,42.5
progan,89.2,78.88,79.12,0.5222,89.75,68.0,93.25,65.0
stable_diffusion_v_1_4,57.07,53.5,56.92,0.3831,89.17,17.83,60.83,53.0
stable_diffusion_v_1_5,56.62,52.06,56.75,0.3772,89.38,14.75,59.88,53.62
stargan,58.03,53.77,55.28,0.5659,66.33,41.21,87.44,23.12
stylegan,57.04,52.18,55.36,0.3414,95.48,8.88,47.07,63.65
stylegan2,66.73,56.03,60.74,0.3727,95.1,16.96,66.71,54.77
VQDM,79.41,69.33,71.33,0.4151,91.33,47.33,73.5,69.17
whichfaceisreal,55.81,55.0,56.5,0.4731,66.0,44.0,55.0,58.0
wukong,64.67,57.25,60.33,0.3832,93.17,21.33,61.5,59.17
