dataset,n_points,slope_linear_gap_vs_noise,spearman_rho_gap_noise,flip_noise_std_if_any,max_abs_gap,max_abs_gap_at_noise_std
ADM,3,-0.01300998540260966,-0.5,,0.018150588164726922,0.03
DALLE2,3,0.03661344894808032,1.0,,0.02638638954907213,0.1
Glide,3,-0.2641093184550598,-1.0,,0.03370702666044234,0.03
Midjourney,3,-0.12780901545133347,-1.0,,0.00992807242274285,0.03
VQDM,3,0.09053571965449808,1.0,,0.009457998901605591,0.1
biggan,3,-0.27166626258538323,-1.0,,-0.02258087000250819,0.1
cyclegan,3,0.07679189399647725,1.0,,-0.008930727625146018,0.03
gaugan,3,-0.014517374222095444,-0.5,,0.01240294020175936,0.05
progan,3,-0.12214775704420366,-1.0,,0.020634323596954163,0.03
stable_diffusion_v_1_4,3,-0.21974853888536358,-1.0,,-0.02194302420814831,0.1
stable_diffusion_v_1_5,3,-0.2236169184629727,-1.0,,-0.02212095688283433,0.1
stargan,3,-0.15562906504072052,-1.0,,-0.020425800116674053,0.1
stylegan,3,-0.08945858633292061,-1.0,,-0.008197434476611476,0.1
stylegan2,3,0.0877655706222075,1.0,,0.0161785958824483,0.1
whichfaceisreal,3,-0.10115962097278028,-1.0,,-0.00838826048374175,0.1
wukong,3,-0.2759040493613606,-1.0,,-0.030434297074874106,0.1
